filename,language,transcription,translation
SEMA-PILOT-2023-12-07T035254-9.wav,eng,it's not because of the fast daylife  the dary be talked but all the other times it has been bot to ask and bitan tepeeoae po la po  eee,it's not because of the fast daylife the dary be talked but all the other times it's been bot to ask and bitan tepeeoae po la po eee
SEMA-PILOT-2023-12-01T130721-11.wav,eng,at what them tey eminized people i think we need to be informed ove about triminisations because mea was not informed the person wo tog me to come jog me,at what they tey eminized people i think we need to be informed ove about triminisations because mea was not informed the person wo tog me to come jog me
SEMA-PILOT-2023-12-01T131105-17.wav,eng,so everything was oke the care andivitin yaaa oco a o le wate e ce a to pata a e le poa poa pa pa pet,so everything was ok the care andivitin yaaa oco a o le wate e ce a to pata a e le poa poa pa pa pet
SEMA-PILOT-2023-12-01T130642-10.wav,eng,it solow but cofered the other place to bo the able to t el so far longid you wait because i'd like to ne who have been near from like todayway leve mes now carswon that al wo miti so the po,it solow but cofered the other place to bo the able to t el so far longid you wait because i'd like to ne who have been near from like todayway leve mes now carswon that al wo miti so the po
SEMA-PILOT-2023-12-07T035103-6.wav,eng,but recentle ve been good i think i just came in late because iam coming from faa e ataawe  wa e w  er e,but recentle ve been good i think i just came in late because iam coming from faa e ataawe wa e w er e
SEMA-PILOT-2023-11-24T131240-19.wav,eng,have been in pno bin o  te ites eas my fesher is too high but now is mo everytin mey come themis impolmet aset,have been in pno bin o te ites eas my fesher is too high but now is mo everytin Mey come themis impolmet aset
SEMA-PILOT-2023-11-16T170721-2.wav,eng,the service was provided on time and the dock touers eavailableon timeeeooeeeae prese tane see oe e e e es to,the service was provided on time and the dock touers eavailableon timeeeooeeeae prese tane see oe e e es to
SEMA-PILOT-2023-12-01T130800-12.wav,eng,ed for me  aeaaa awhy it's not very good shid peida bet it was good was i came,ed for me aeaaa awhy it's not very good shid peida bet it was good was i came
SEMA-PILOT-2023-12-07T035026-5.wav,eng,ise thing tha to on time abar tent yar ae reception attan o car  ateaaa o e e cate te pae a onte pa eetente,ise thing tha to on time abar tent yar ae reception attan o car ateaaa o e cate te pae a onte pa eetente
SEMA-PILOT-2023-11-24T130849-13.wav,eng,eiede i have cat somateetes aoatatei a e  a tan te wa,eiede i have cat somateetes aoatatei a e a tan te wa
SEMA-PILOT-2023-11-11T080749-8.wav,eng,eis good becausemet my expectations ne toto e pooto me taa ta aaa toea toea pe te tot,eis good becausemet my expectations ne toto e pooto me taa ta aaa toea toea pe te tot
SEMA-PILOT-2023-12-01T130412-6.wav,eng,everytime when a cam he lerseve us si do wel and we didn't take long time  is the services,every time a cam he lerseve us si do wel and we didn't take long is the services
SEMA-PILOT-2023-11-24T131201-18.wav,eng,di mi stoped apfiuoayi received the services are really wanted on time and the docter attended to me very welltato,di mi stopped apfiuoayi received the services are really wanted on time and the docter attended to me very wellATO
SEMA-PILOT-2023-11-24T131123-17.wav,eng,organisedathe custonacais gooda a tar soaaaaaaa  paa a ta a pee,organizedthe custonacais gooda a tar soaaaaaaa paa a ta a pee
SEMA-PILOT-2023-11-11T080514-4.wav,eng,cam pevetaa we taof a e a ahathe place is really good the doctors are welcoming an,cam pevetaa we taof a e ahathe place is really good the doctors are welcoming an
SEMA-PILOT-2023-11-11T080631-6.wav,eng,hou the andof metasarfis sentin incatsto mac car oteo eee oae tasete to aeoa ee pa pota eaoa ea peae a tor dee to te pee tert,hou the andof metasarfis sentin incatsto mac car oteo eee oae tasete to aeoa ee pa pota eaoa ea peae a tor dee to te pee tert
SEMA-PILOT-2023-12-07T035218-8.wav,eng,ton people have atete easaaa e ea tate pa ote patoa p pae ataar paaper tale te caa e tale aaaa al acarae weete t ce e,ton people have atete easaaa e ea tate pa ote patoa p pae ataar paaper tale te caa e tale aaaa al acarae weete t ce e
SEMA-PILOT-2023-11-11T080553-5.wav,eng,e can say they know how to take  the patients thats all i can s yaaacale aatambera wote,e can say they know how to take the patients thats all i can s yaaacale aatambera wote
SEMA-PILOT-2023-11-24T131318-20.wav,eng,well tan the doctor talketo  me and a hoved me with whatever i wanted to te a ocae aaa a a  o oaa a o ae oa tee,well tan the doctor talketo me and a hoved me with whatever i wanted to te a ocae aaa a a o oaa a o ae oa tee
SEMA-PILOT-2023-11-11T080436-3.wav,eng,cambala hospit ise a good hospitl the services aoka ar the doctors ar good an they give am yow the utmost time you need for them to listen to youtats dal,cambala hospital is a good hospital the services aoka ar the doctors ar good an they give am yow the utmost time you need for them to listen to youtats dal
SEMA-PILOT-2023-12-07T035336-10.wav,eng,because we are still in the prises we are not finished maybe we don't know how the end will be but so fasoa atea aee pese oeo ee pese e te entee,because we are still in the prises we are not finished maybe we don't know how the end will be but so fasoa atea aee pese oeo ee pese e te entee
SEMA-PILOT-2023-11-24T130811-12.wav,eng,because i have yon't found any teature on here may be worked lic the other hospitals like wiminets was a problem conjetion and the treatment of the doctors bur then e an the doctors are,because i have yon't found any teature on here may be worked lic the other hospitals like wiminets was a problem conjetion and the treatment of the doctors bur then e an the doctors are
SEMA-PILOT-2023-11-24T130927-14.wav,eng,e ours from the pek lane it was fast ander informati e e tee e e aea a eaadapo e mee bo toee,e ours from pek lane it was fast ander Inform e e tee e e aea a eaadapo e mee bo toee
