filename,language,transcription,translation
SEMA-MG-2024-03-12T130152-3.wav,eng,my presentation to them immediately they attended to me when i went toeisde with a big man ilfard me to a person ho ol sod into astim oaythan you somachcopis dedo visit trofik oay thank you so much for your pietback,my presentation to them immediately they attended to me when i went toeisde with a big man ilfard me to a person ho ol sod into astim oaythan you somachcopis dedo visit trofik oay thank you so much for your pietback
SEMA-MG-2024-03-13T130113-2.wav,eng,isit was a kind reception andthen i explained to ward  to them what i really wanted sis they work twon me without you gosting for any money bit was a free service,isit was a kind reception andthen i explained to them what i really wanted sis they work twon me without you gosting for any money bit was a free service
SEMA-MG-2024-03-07T130355-6.wav,eng,notlecorts numbersmoiplas wel ar rooli deleto any to gift recording in the number the chi sans  samaaaaaa wee ee wo ree te,notlecorts numbersmoiplas wel ar rooli deleto any to gift recording in the number the chi sans samaaaaa wee ee wo ree te
SEMA-MG-2024-03-06T130236-4.wav,eng,ely nights a ac o  madacae ta  a wle paee mention te a tan a los o so o is bes te e,ely nights a ac o madacae ta a wle paee mention te a tan a los o so o is bes te e
SEMA-MG-2024-03-12T130310-5.wav,eng,i anded case wo weegain e five mener it the apsol of t my mada am now gen bak apwenfis did you go toeeseine os seidoa yes thanes,i anded case wo weegain e five mener it the apsol of t my mada am now gen bak apwenfis did you go toeeseine os seidoa yes thanes
SEMA-MG-2024-03-12T130625-10.wav,eng,ot ben attended to which offes did e gont o bisitna so forlon did you waitnaw a te tas a capof minits we attended to tro a satisfaction ased so is it's your first time to come on this c,ot ben attended to which offes did e gont o bisitna so forlon did you waitnaw a te tas a capof minits we attended to tro a satisfaction ased so is it your first time to come on this c
SEMA-MG-2024-03-26T130510-2.wav,eng,wa ga no pe ples  sena de yu prosia osee you do like this our us arweyo no inpress year now itov now wis re tarit is recording instedaf meano is goin good bony dot pas of te same our us awes ta oo estao tast bony am i amsey darwiw atnatenger ba ma de semer is whattoitis recording ya when it shose eretis e codbut is show r ero eat nan namigaricod estucation aary goodaabot how are you simeasop owar entering that is better good water wear,wa ga no pe ples sena de yu prosia osee you do like this our us arweyo no inpress year now itov now wis re tarit is recording instedaf meano is goin good bony dot pas of te same our us awes ta oo estao tast bony am i amsey darwiw atnatenger ba ma de semer is whattoitis recording ya when it shot erotis e codbut is show r ero eat nan nam
SEMA-MG-2024-03-26T130733-3.wav,eng,athe monetarthe motontien tarwals officers nai monter tatan is a developed sisesemani baberanga ibago m wombayoran ciratadibalimo ta yo manter from ther wartfrom ther camery awhy  is connected ocomse peside eueso understooda teve tan laaa a an a paaa mare vacaaae aaeetoee ta tegat to do me met noate awae te ata to tie te aat wan awa mecomende taca aeseatesan cmveot es o be sarred by you mo o te won pat wa anso ta wate wata a taspe aama toso yo eo,athe monetarthe motontien tarwals officers nai tatan is a developed sisesemani baberanga ibago m wombayoran ciratadibalimo ta yo mantar from ther wartfrom ther camery awhy is connected ocomse peside eueso understooda teve tan laa a a paaa mare vacanaae aaeetoee ta tegat to do me met noate awae te ata to tie te montar aat wan awa me
SEMA-MG-2024-03-12T130231-4.wav,eng,so you have to rat e n how youhve gete services when you depress very goodvery good the truth of the fact is a campiad to sele dpc and okey,so you have to rat e n how youhve get services when you depress very goodvery good the truth of the matter is a campiad to sele dpc and okey
SEMA-MG-2024-03-06T130118-2.wav,eng,any owrs serviceea vera me cene se es aeed  o eile nama neeiee depoto to to ooa oi a oo,any owr serviceea vera me cene se es aeed o eile nama neeie depoto to to ooa oi a oo
SEMA-MG-2024-04-03T132636-3.wav,eng,s peposnot everybody is perfectswhen i say that they are good it means everything is inomo most of all the people fall under thatliing tcos not everybody is perfect taswav not prestis melicoloa the precieits owchotles te digo toi want you to the hoses officethe ose stationso how maintains that yo come on that case lae camentainse bin that games ecac caws fo asactualy i need follow up anatin erice case but i just wanted to see someone ten castode witin seves so the dilecet met te wose ofpase ahokide na,s peposnot everyone is perfectwhen i say they are good it means everything is inomo most of all people fall under thatliing tcos not everyone is perfect taswav not prestis melicoloa the precieits owchotles te digo toi want you to the hoses ose stationso how maintains that yo come on that case lae camenta inse bin that games ecac caws fo asactualy i need to follow up anatin erice case but i
SEMA-MG-2024-02-29T232206-3.wav,eng,anaea waton adwar wel hatar yegeing o fa i pration  yongo diselen ye  pepes cli ateat ea atae otoa oaate es,anaea waton adwar wel hatar yegeing o fa i pration yongo diselen ye pepes cli ateat ea atae otoa oaate es
