filename,language,transcription,translation
SEMA2-2023-05-25T174230-59.wav,eng,there are some who tos not tabedon whatiere tats for let wa wo yo can o gaven wot to ispitala when seon elids cologe again e ask to struggle for that thing yer jeses governons po tode,there are some who tos not tabedon whatiere tats for let wa wo yo can o gaven wot to ispitala when seon elids cologe again e ask to struggle for that thing yer jeses governors po tode
SEMA2-2023-05-25T172454-32.wav,eng,them owta rec sor giv de lan efos pere fast e eesa e aea tese ta t taoaae p pa ateetea do le te toe to to weteee te to te eseetet,they owta rec sor giv de lan efos pere fast e eesa e aea tese ta t Taoaae p pa ateetea do le te toe to to weteee te to te eseetet
SEMA2-2023-05-25T173242-44.wav,eng,it is clean bcos i like in in place dat at least tedi not to tatseda natens felol atended twas wer frendiaaaaada tar we ses la,it is clean bcos i like in place dat at least tedi not to tatseda natens felol attended twas wer fradiaaaaada tar we ses la
SEMA2-2023-05-25T173757-52.wav,eng,the can attend to you but there is no o the any medication you can give youalimeispentycol cannot diven direct rop on what to do in time me seat and weyit may be tat te is something  an enda poingment very late an,the can attend to you but there is no o the any medication you can give youalimeispentycol can't diven direct rop on what to do in time me seat and weyit may be tat te is something an enda poingment very late an
SEMA2-2023-05-25T174112-57.wav,eng,madespee geton tobeayoul was bising conduma marketon was bis te grabs wo was bis the carbera then also we like your pisinal women,madespee geton tobeayoul was bising conduma marketon was bis te grabs wo was bis the carbera then also we like your pisinal women
SEMA2-2023-05-19T170350-5.wav,eng,after dag wech halsat muworkefudays  no medicationeyo tepe pe ataa pea aete a o os e ta te tete se,after dag wech halsat muworkefudays no medicationyo tepe pe ataa pea aete a o os e ta te tete se
SEMA2-2023-05-25T173915-54.wav,eng,the have given a medi wi the medication which is available the on whichis  not arrivadableea d ni ti luga ye tolnaoe a ee a otae po a ta e ate tea  eepee,the have given a medi wi the medication which is available the on whichis not arrivadableea d ni ti luga ye tolnaoe a ee a otae po a ta e ate tea eepee
SEMA2-2023-05-05T145940-17.wav,eng,disdoktars  ney do come latethey don't act verywellsem they do' know their dutiesnow if e passil should come dat stay heare for hours and te hours and helo mided,disdoktars ney do come latethey don't act verywellsem they do' know their dutiesnow if e passil should come dat stay heare for hours and te hours and helo mided
SEMA2-2023-04-27T160150-8.wav,eng,ide tas time when i plees deei allays tam totecaafta shekna efi pond f their medicine se gi leledse e esen oo,ide tas time when i plees deei alleys tam totecaafta shekna efi pond f their medicine se gi leledse e esen oo
SEMA2-2023-04-27T160423-12.wav,eng,but she justu i fold ar wriiting some  hint then after right en sho desta standind on te rese contable she went a rong docar came you people you are let mana evena,but she just i fold ar wriiting some hint then after right en sho desta standind on te rese contable she went a rong docar came you people you are let mana evena
SEMA2-2023-05-19T170748-11.wav,eng,but insi like bea saing thev not drag yo don't have medicineso all pression and they arso the moders with be choed men after oll yer a not get mini to consoden t mase while they aredet,but insi like bea saing thev not drag yo don't have medicineso all pression and they arso the moders with be choed men after oll yer a don't get mini to consoden t mase while they aredet
SEMA2-2023-05-19T170112-1.wav,eng,after dom that start sins ar not ony wom weeode an epeten departamen enesade tolk oo too ie ase,after dom that start sins ar not ony wom weeode an epeten departamen enesade tolk oo too ie ase
SEMA2-2023-05-25T172100-26.wav,eng,everything is parfeclto ttoea to pae toaea o aeaa e ta e teb bak,everything is parfeclto ttoea to pae toaea o aea e ta e teb bak
