Filename,Transcription,Translation
KABALAGALA-2025-03-06T095200-11.wav,"Ankutte bulungi tewali buzibu. Eeh. Ne bogedde nawe bulungi. Eeh bogedde nange bulungi. Simbadde njagala mbadde njagala kumpa lines gundi kusayisa lines zange, mpapula bazimpa te. Tewali buzibu. Kale mukwano. Kale nawe.","They have handled me very well. No problem. Eeh. And they spoke to me very well. Eeh they spoke to me very well. I did not want them to give me more lines to cross my lines, papers were given to me. No problem. So friend. So with you."
KABALAGALA-2025-03-06T094700-10.wav,"Ensonga wano bw'otuukirako bakolerako nebakujjukiza ekwadde ekikumi, buli musango gwonna gw'otabakolako ate bwe bali mu bungi bwawo, eeh, bwe bw'otuuka fudde abalungi, ab'ewala ababikka balagala, bw'otuukirira abalagala.","The issue here is that when you get to them they work on you and they remind you a hundred times, every time you don't work on them and they are in big numbers, eeh, when you get to them they are good, those who are far behind cover yellow, when you get to them they are yellow."
KABALAGALA-2025-03-06T095800-12.wav,Eee kyenjogera mbasanze munda ne bankolako nga bwenjagala era nvuddeyo bulungi.,"Whatever I say, I have found them inside and they have done to me what I want and I have come out safe."
KABALAGALA-2025-03-06T101800-14.wav,"Mbadde nze wano Kasubi ku Poliisi, omuntu bange babadde bamuleese wano, nzize wano, tebentusiza bubi era nzize olaba omuntu wange yadde esaawa zibadde tezinatuuka naye banzikirizza ne mulaba olw'ensonga ezite, e Luganda nti lw'entawanyi eziteewalika, yee tebentusiza bubi.","I have been here Kasubi at the police station, my person has been brought here, I have come here, they did not treat me badly and I have come to see my person even though the hours were not yet yet but they allowed me and I saw them for some reason, in Luganda because of the inevitable wars, yes they did not treat me badly."
KABALAGALA-2025-03-06T101200-13.wav,"Bannange kye tubadde tusaba abapoliisi bantu balungi naye nga abantu abamu tetugaanye tetuli, buli omu sigamba nti mulungi naye nga mulimu ababi n'abalungi tetugyaga nti bonna balungi kuba mulimu abakambwe n'abatali bakambwe naye kye tuba tukola nga baffe banna Uganda kye kintu abapoliisi kye bwetuyambamukko tukyusizemu abo abantu abakambwe.","My colleagues, what we have been asking the police for is that they are good people but some people we have not rejected, I am not saying everyone is good but there are bad and good, we are not saying all are good because there are bad and not bad but what we are doing as Ugandans is the police helping us to change those bad people."
KABALAGALA-2025-03-06T105400-17.wav,Kasirika tetunnyabantu. Abasirikale tebayina buzibu batufuddeko nnyo. Kale.,Kasirye we are not robbing people. The security officers are not harming us. So.
KABALAGALA-2025-03-06T112100-20.wav,Bankozeeko bulungi nnyo nnyo si bubi bulungi nnyo tebayina tabu.,"They have treated me very well, not badly, not badly."
KABALAGALA-2025-03-14T110400-8.wav,Eeh mbadde nze wano ku Poliisi eeh waliwo ensonga eya ndee se nabadde nze aa ensonga ebadde ndee bakutte piki ya mukwano gwange hmm egulu badde nze kwogerako ne Poliisi tulabe engeri gye tunagifunamu eeh ne batugamba tulete ebi ebi ebikwata ku piki naye nannyini piki tu tu tu tufudde piki naye obuweereza bulungi eeh okusinziira security.,Eeh I was here at the Police station eeh there is a reason for me se it was me a reason for them to grab my friend's motorcycle hmm above let me talk to the Police and see how we can get it eeh they told us to bring this information about the motorcycle but the owner of the motorcycle we tu tu we have lost the motorcycle but the service is good eeh according to security.
KABALAGALA-2025-03-14T104600-7.wav,"Nze ndi driver so ku by'enguudo. Waliwo mulusanga owa traffic. N'akuyimiriza naye nga n'ekyakuyimiriza tokiraba. Mugamba buli kimu kiri okke, agenda okkiraba emmotoka ate nate bw'osaabaza amazzi ate nabo wekanga toyinaamu.","I am a driver, not a traffic officer. There is a traffic jam. They stop you, but you can't see the stop. You tell them everything is okay, they are going to see the car, and again when you cross the water, they don't see you."
KABALAGALA-2025-03-14T102800-4.wav,Nze wenagira omwana nga abuze nnyinja nendi potinga nabajja nebanzikirira nebanzyako statement okunnyinja kw'esetimenti okubagamba ne bigwa omwana nga ntanalabika era n'enkomo gw'okubiri kwena funa advaaliroy nangu tukolese kumunonyereza ku whatsapp ntuwereza baku radio communication okuwereza mu ppaka.,I am supporting a child who is missing my mother and my aunt who came to see me and wrote a statement to tell them what happened to the child before they disappeared and the second step is to get an advert or whatsapp them and forward them to radio communication to send to the parish.
KABALAGALA-2025-03-14T102900-5.wav,Abeeri weyali omwana. Ne bakozesa WhatsApp group. Era omu kuwa okuwerera WhatsApp group bali ng'omubano betulina era nga waliwo ali mu group yaawa. Era wetwafuna respond ne batuwa feedback nti omwana alabise yoo n'okirabika ne batwakako connection contacts eee eee era chairman w'eri. Bafuna e number ye n'agyana atulagirira mpaka nga tumufuna omwana.,Abeeri was a child. They used WhatsApp group. And one gave to stick WhatsApp group is like a friend we have and someone in the group gave it. And when we got a reply they gave us feedback that the child looked like you and apparently they contacted us on the connection contacts eee eee and where is the chairman. They got their number and they refused to direct us until we got the child.
KABALAGALA-2025-03-14T103100-6.wav,"Balungi kubanga basooka kunonyereza, ne balyoka bako basooka ne balo ne banonyereza ku musango, then ne balyoka bakola ki? Ne bakola ekiddako. Hee, tebasibira bwerere. Sebo.","They are good because they investigate first, then they do their work first, then they investigate the case, and then they do what? They do their next. Hey, they don't jail for nothing. Sebo."
KABALAGALA-2025-03-14T111500-10.wav,"Batuwadde obudde. Bakutwala ng'omuntu wa bulijjo ne mwogera, tebalaga nti musirikale nze oli wa bulijjo nze ne musirikale aaah tuba kye kimu, ne mu banyonyola ensonga ekuleese ne bakukolako ne bakuweereza obulungi.","They have given us time. They take you as a civilian and you talk, they don't show you as a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civilian and a civili"
KABALAGALA-2025-03-14T113900-13.wav,"Era ndi baddembe naye bakwetoolooza, bakutuma kino kati waliwo ennagya wali mu kusooka, kati mmaze which number? Kumbe ziri mu bbiri. Ziri mu kwetooloola ku kintu kimu. Batutuma ono, bakutuma oli, bakutuma oli, mwegamba tebali tebali belief bulungi nabo.","And I am free but they are around you, they are sending you this now there is another one you were in the first place, now I have finished which number? Kumbe they are in the second place. They are all around the same thing. They send this one, they send this one, they send this one, they send this one, you say they are not believing well with them."
