Filename,Transcription,corrected transcription,translation(translate.sunbird.ai),corrected translation,sentiment analysis-chatgpt
22.WAV,Ebibasa abalala banozeeko buli omu.,abasaawo leelo bankozeko bulungi.,the doctors have treated me very well today.,,
67.WAV,Tewali ddagala bateeka eddagala mu ddwaliro.,Tewali ddagala bateeke eddagala mu ddwaliro.,There is no medicine in the hospital.,,
45.WAV,Ekka eky'okukola okulaba nti kya mugaso mu kusoma.,nange kantekemu very bad,i have a very bad memory too,,
25.WAV,"Tulwana okuddayo lya kasangati, lya gavumenti, naye ffe batukolaako bulungi nga ffe abakyala n'abalwadde abalala bonna era kisimba empeereza zaabwe zonna","Tuliwano kuddwaliro lye kasangati,e lya gavumenti, naye ffe batukolaako bulungi nga ffe abakyala n'abalwadde abalala bonna era tusiima empeereza zaabwe zonna","We are here at kasangati hospital, a government facility, but we are treated equally as well as women and other patients and we appreciate their services all of them",,
38.WAV,"Abalala bye bali essaawa zino bana ntera okuvaayo. Naye nga toyanza nnyo, buli kimu kye badde neetaagisa nkitegedde byebadde simanyi badde sibimanyi, naye nga katuli kimu nkitegeddewo","Abalala je bali essaawa zino banatera okuvaayo. Naye nga tweyanziza nnyo, buli kimu kye mbadde neetaagisa nkitegedde bye mbadde simanyi mbadde sibimanyi, naye kati buli kimu nkitegedde","Where others are at this time is up for grabs. But with a lot of practice, I have come to understand everything that I needed to know that I didn't know, but now I know everything",,
53.WAV,Balabiridde bulungi omuwadde wange mu lwala wange era batusiibuddwa. Eyo twazadde bulungi ne batufaako bulungi nga tuganziza,Balabiridde bulungi omurwadde wange mu wala wange era batusiibudde. E twazadde bulungi ne batufaako bulungi,They took good care of my patient at my home and discharged us. We had good parents and they took good care of us.,,
37.WAV,"Katikka kya busawo, katukozeeko mangu bwatwakede wano eno okweyongedde mu ssaawa z'adibiri naye tuyise mitendera mingi naye buli musawo guba","ku busawo, batukozeeko mangu kuba twakede wano eno twaze wano ssawa, ssaawa z'abadde biri naye tuyise mumitendera mingi ","at the health centre, we have been handled quickly because we have been here before, we have been here for hours, hours but we have gone through many stages",,
33.WAV,"Bankozeeko mu budde, abantu ze bali nnungi, abasaabwe abadde basanyufu, naye buli wogenda ku mutunga musanyufu naawe obeera happy, wadde nga oba mulwadde.","Bankozeeko mu budde, service ebadde nnungi, abasaawo babadde basanyufu, naye buli wogenda ku mutu nga musanyufu naawe obeera happy, wadde nga oba mulwadde.","They have worked with me on time, the service has been good, the doctors have been happy, but whenever you go to someone who is happy, you are happy too, even if you are sick.",,
23.WAV,Abaabaawo bampisizza bulungi nnyo era mbeebaza nnyambe baliza ddala zawa ba wano bangi batukwata bulungi.,Abaasaawo bampisizza bulungi nnyo era mbeebaza nnyo mbe baliza ddala Abaasaawo ba wano ba nga batukwata bulungi.,The doctors have treated me very well and I am very grateful that the local doctors are treating us very well.,,
24.WAV,Tebattirizaamu bulungi kubanga kaali twakedde ne tuvaawo mu budde nga tetukidde bye twatwala nga tubitundde mu budde baluddemuko bakyuse muko mu mpeereza zaabwe.,Tebattuyisizaamu bulungi kubanga kaale twakedde ne tuvaawo mu budde nga tetukidde bye tubade twagala nga tetubifunidde mu budde baluddemuko bakyuse muko mu mpeereza zaabwe tuja siima.,"They do not treat us kindly because if we leave on time, if we don't get what we want on time, let them come back and change their ways and we shall appreciate it.",,
60.WAV,"Era okukola ebintu byonna okulaba nti abakuumi era bongaali kutandika okulamira ku zonna. Baayise ekijja, n'omwoyo gwonna gwa buli omuntu.",,,,
34.WAV,Bakola bakooya tewaddeyo ekka ssabbiisa y'omulonde okukola mu kitundu ky'okutumbula. Okweyongera okuyigira ku kkanasiribatane nti kya kusobola okukola.,,,,
