Filename,Transcription
KOMAMBOGA-2025-03-13T101600-5.wav,"Can you give us a brief? Please, just for a second. How you have found the doctors? Yeah, the doctors of this is Komamboga Hospital, they are very ok, the services are ok. Thank you so much. You are welcome."
KOMAMBOGA-2025-03-13T102000-6.wav,"Hello, I'm at Komambuga hospital, government hospital, so I came for a day or two, mainly, but I have got the medicine, the challenge that I have found, the doctors, they are very ok, the first teachers and all the staff, but they have failed to remove my teeth because they told me to."
KOMAMBOGA-2025-03-13T104100-9.wav,"By the name of Kandi trevor and I came here to remove the teeth but the bad thing I got, the Dentist told me that I come back tomorrow with a parent because I'm seventeen years below the expected age so I'm going to come back tomorrow, I'm going to come back tomorrow and I think the teeth will be removed."
KOMAMBOGA-2025-03-13T110900-14.wav,anything wrong with them.
KOMAMBOGA-2025-03-13T111100-16.wav,"Ok.  God, I know you are good. Ok.  I know you are good, just something like twenty minutes and I'm already finished to do my sign. Ok, thank you. You are welcome.  Good, good, have a good day. You are welcome."
KOMAMBOGA-2025-03-13T110900-13.wav,"The service was good, every time I came they welcomed me well, I really appreciate it."
KOMAMBOGA-2025-03-13T111200-18.wav,Kindly give us the details from the doctors. according to what they have done because I had come the teeth was as an echoing and the doctor attended to me very well and after I'm from testing for HIV and it was fine. Thank you.
KOMAMBOGA-2025-03-13T114500-32.wav,"You can give us a proof. This is my third day to come here, service for this hospital is good and the doctors service is always good, I think today I have made the best doctor, the best doctor, what she has tested my daughter, everything is good, that is what I can say. Thank you."
KOMAMBOGA-2025-03-13T113700-29.wav,"The only problem is that at times the medicine is not always available, they can come and work on you but they subscribe, they write for you the medicine you go and buy outside, for us we prefer it because the local nurses for sure they work but if they can put like the government they put in medicine, then things will be ok. Ok, thank you. Go ahead."
KOMAMBOGA-2025-03-13T113300-28.wav,"For me, I think it is good because when I reached here, they have to work on me. I did not, they did not delay to work on me, they gave me the services that I needed. Thank you."
KOMAMBOGA-2025-03-13T114700-35.wav,"But here in Komambuka, the services given, like me, the services that I got from here, they are all good. This is not my first time of coming but whenever I come here, the services they give us is good, everything is just fine."
KOMAMBOGA-2025-03-26T115700-15.wav,"My experience here, when I came for scanning, it is very fine and I don't see anything the place is good and the medical attendants are fine, they are really friendly, it is good that you are able to express yourself without any fear. Ok, thank you."
KOMAMBOGA-2025-03-26T114400-12.wav,"I sat back in my seat, so after that person went out, I went back, he was, yeah, he was, he received me, and everything, yeah, everything was ok, and when I was getting out, he said bye, I was just..."
KOMAMBOGA-2025-03-26T124500-24.wav,The doctors were good.
KOMAMBOGA-2025-03-26T124500-23.wav,"I have visited the youth department but I came here very early, I never found any doctor, I waited for a long time."
KOMAMBOGA-2025-03-26T124600-25.wav,"Ok, so you can say it more like, I came here, I saw the doctor in this ward, and they didn't give me medicine. They gave me some. They gave you some medicine. But another one they told me to buy outside. To treat the child. Yes. Ok, thank you so much."
KOMAMBOGA-2025-03-26T130900-37.wav,"Because I did not only because of the rain, I did not get a Dental doctor and that is why I did not, but I got a medicine that is why I say that is good."
KOMAMBOGA-2025-03-26T132200-41.wav,"But others are okay, very good actually, very good but some are not okay. What do they do when they come back from the department? When they come back from the department, they are on the number 10, the one with the red line. Yeah, but the others are okay."
KOMAMBOGA-2025-03-27T104200-5.wav,"I had an appointment with a doctor, I reached him in time but I didn't see the doctor, I'm sure it is because of the weather only but next time I'm sure it will be well."
KOMAMBOGA-2025-03-27T095400-4.wav,"The service was ok, I have no issues with the hospital even for referrals, they do it well, I have been in the antenatal department."
KOMAMBOGA-2025-03-27T112400-14.wav,"I don't like the bacteria too because I was having some foot pain even flu. What can you do? It will come back on its own because it is sharing too much, you cannot remove it."
KOMAMBOGA-2025-03-28T114000-47.wav,"The ambulance on Wednesday was not that good, I came here, we did not find any doctors around for the family planning and the Dental department, it had really rained and there were no doctors, so my suggestion would be, you could construct some quarters around for doctors to sleep near the hospital, at least for his convenience, that would be better."
KOMAMBOGA-2025-03-28T114100-48.wav,"Yeah, my today's experience at Komamboga Hospital, everything is ok, the doctors are round, the patients are being worked on quickly, which is really good, the doctors are helpful, everything is ok."
KOMAMBOGA-2025-03-28T125200-54.wav," I'm not a guest at this hospital, but I do think that the roads leading here are terrible for maternal health. Thank you."
,
,
,
24,
