Filename,Transcription,Translation
KOMAMBOGA-2025-03-06T094700-4.wav,"Batukola bulungi ekkomo amboga, babadde batufaako naye okuba ng'oluusi ebintu ebimu tebibeerayo naye ng'okutufaako batukolaki batufaako ebintu amakerenda oluusi otuuka ate eriyo makerenda ate n'obeerawo awo ekikusibula nti n'ogenda n'obeera paka saawa musanvu gwe n'okwoowa n'okolaki n'ogenda, singa okuvaako.","They do us a lot of good over the long term, they have taken care of us but sometimes some things are not there but they do take care of us, they do take care of us, the schedule sometimes comes and there is a schedule and you are there so you say goodbye and you stay until seven o'clock and smell and smell and smell and smell and smell and smell and smell and smell and smell and smell and smell and smell and smell and smell and smell and"
KOMAMBOGA-2025-03-06T104600-8.wav,"Aa neyanziza neyanzi okumpa chance eno kwogerako namwo. Alina eddwaliro olw'okutwaliza awamu sselebib, wadde services ziri mu kkala eya materials zebakozesa, ezimu bazituma ate nga sometimes oluusi abajja ffe tuba tetuyina sente bikitegedde. Naye nga wo services zitambula bulungi naye nga tebayina materials bamala.","They also want to give me this chance to talk to you. They have a hospital for the general public, although the services are in terms of the materials they use, some are for delivery and sometimes those of us who come don't have the money to understand it. But the services are running well but they don't have enough materials."
KOMAMBOGA-2025-03-06T091100-3.wav,"Edward, sinakulirabamu obuzibu, because this is my second time, olwe asookera ddala omukazi wange alina okufunana wano eddagala ly'okuzza lyo olubuto, okuva nga alina emyezi esatu, mpaka bwe yatukira kuzaalera, naye ng'endiiro gye batukwatamu nga nnungi, ne basifuna nga mu buzibu bwonna, neraka nti mukono gwe afunye accident, naye atuuse amalala,","Edward, I have not experienced any problems, because this is my second time, the first time my wife has had to get contraceptives here, from the time she was three months old, until she went into labour, but the way they treat us is so good, and they get it in all the hardships, and the fact that her arm is accidental, but she has become proud,"
KOMAMBOGA-2025-03-06T102500-7.wav,Bwe natuuse bampi berukkaaminze bulungi ngenda wali ku nsawo ne ba bampisizza bampisizza bulungi.,"When I arrived, I was handsomely handled by my handbag and the hosts treated me kindly."
KOMAMBOGA-2025-03-06T111000-12.wav,Ndabidde kuwaana eno ne nga mpulira sirwala maze bbanga nga sirwala ne ng'amba kanzijja omusana ne mugamba n'angamba kang'enda nkebere naye weyankomera y'angamba positive ne ng'amba oba siri lubuto era siri naye muli kkali ne mpulira ng'ali olubuto lwentyo era mpulira.,I have seen this baby even when I was not feeling well because I was not feeling well even when they told me to come in the morning and they told me to go for a check up but at the end they told me I was positive even when they said I was not pregnant and I was not but I felt so pregnant and I felt it.
KOMAMBOGA-2025-03-06T105000-10.wav,"Aha, kale gundi gyenvunyeyo tebadde mbi okutwaliza wamu naye eddagala olumu otuuka nga baagala kukebera ttestingi naye nga ttestingi ziriwo ate nga olumu ogya toyina sente nga tuyina obeera nga oviiriddemu awo, kati gyesi kye nsaawa batuyambeko, basobole okutufunira ku ttestingi zino zibeerewo, butuleme nga kubeera bwe ttikuba nga tetuyina sente tujja wano okuyambibwa.","Aha, so what I have come up with has not been bad generally but medicine sometimes they want to test but tests are there and sometimes you don't have money and you have to be there, now is the time for them to help us, so that they can get us for these tests so that they can be there, so that we don't live like we don't have money we come here to be helped."
KOMAMBOGA-2025-03-06T111100-13.wav,"Bbanga ki oba ki oba ssaaki followinga naye waliwo ennagira nandi kifolowinze naye kati kyamvaamu kuba yaŋŋamba positive ate nga negative y'omuntu abeera tayina, positive y'aba ayina neŋŋamba si positive oba nnina kituufu positive, nnengerera mu kitabo nja kuddayo nkoleka lissaaki ndabe naye ebbanga simanyi n'era kukola ebintu.","How long or what if the bag follows but there is a command I would have followed but this time it worked out because they told me positive and negative is for someone who is negative, positive is for someone who is positive and I tell them negative or I have the right positive, I look in the book I will go back and leave the bag and see but the length I don't know and I do things."
KOMAMBOGA-2025-03-06T105900-11.wav,Nze ba nkozeeko bulungi.,I have had a successful career.
KOMAMBOGA-2025-03-06T112500-14.wav,Eee nze leero bankozeeko bulungi bataddemu supiidi kuba nvuddemu ambo naziggemesa mwana ee kyekyo leero kyenfunye mpozzi olulwo lwe nvuddeko lwe balwawo yaliwo omusaamanya nsonga ki bakikyalibwe kityo.,"Yes, today I have been treated kindly, they have speeded up because I came out and vaccinated my child against what I got today, maybe the last time I was late, someone didn't know why they were hated like that."
KOMAMBOGA-2025-03-06T120800-16.wav,Kye tusinze okulaba ekkoma mboga abakyala bwebajja nga bagaala eddagala okuba nti tebazaala ate munnange babajjako ssente kye kibi ekiriyo mpozzi n'ekirala eri wansi mu riverwood n'abakyala abamu bagaala abasooke okubawa ssente okubakolako omukyala alumwa obulamu bugenda nti mpa ssente nkutegeka eccupa yebissa ng'ate oluusi abanene baba tebamanyi most the last night that is not good kuba bagaala.,What we have seen so often when women come seeking medication is that they are infertile and my colleague takes money from them that's the problem maybe the other one is down in riverwood and some women want the first one to give them money to do for them a woman who is in pain life goes on give me money to prepare a bottle of juice and sometimes the big men don't know most the last night that is not good because they want.
